id;nombre;idDia
1;Bendición y Esperanza;1
2;Pino Montano;1
3;La Misión;1
4;Bellavista;1
5;Pasión y Muerte;1
6;Cristo de la Corona;1
7;Padre Pío;2
8;Torreblanca;2
9;Alcosa;2
10;San José Obrero;2
11;La Milagrosa;2
12;La Borriquita;3
13;Jesús Despojado;3
14;La Hiniesta;3
15;La Paz;3
16;La Cena;3
17;San Roque;3
18;La Amargura;3
19;La Estrella;3
20;El Amor;3
21;San Pablo;4
22;La Redención;4
23;Santa Genoveva;4
24;Santa Marta;4
25;San Gonzalo;4
26;Vera+Cruz;4
27;Las Penas;4
28;Las Aguas;4
29;El Museo;4
30;El Cerro;5
31;San Benito;5
32;El Dulce Nombre;5
33;La Candelaria;5
34;San Esteban;5
35;Los Javieres;5
36;Los Estudiantes;5
37;Santa Cruz;5
38;El Carmen;6
39;La Sed;6
40;El Buen Fin;6
41;San Bernardo;6
42;La Lanzada;6
43;El Baratillo;6
44;Los Panaderos;6
45;Las Siete Palabras;6
46;El Cristo de Burgos;6
47;Los Negritos;7
48;La Exaltación;7
49;La Cigarreras;7
50;Monte-Sión;7
51;La Quinta Angustia;7
52;El Valle;7
53;Pasión;7
54;El Silencio;8
55;El Gran Poder;8
56;La Macarena;8
57;El Calvario;8
58;La Esperanza de Triana;8
59;Los Gitanos;8
60;La Carretería;9
61;La Soledad (San Buenaventura);9
62;El Cachorro;9
63;La O;9
64;San Isidoro;9
65;Montserrat;9
66;La Sagrada Mortaja;9
67;El Sol;10
68;Los Servitas;10
69;La Trinidad;10
70;El Santo Entierro;10
71;La Soledad (San Lorenzo);10
72;La Resurrección;11
