idHermandad;tipoPaso;hora;localizacion;difHora;esCarreraOficial
1;CRUZGUIA;17:30;Salida Can. Colegio;17:00;0
1;CRUZGUIA;18:00;Rotonda Esqueleto;;0
1;CRUZGUIA;18:30;Rotonda Ntra. Sra. Oliva;;0
1;CRUZGUIA;19:00;Getsemaní;;0
1;CRUZGUIA;19:30;Getsemaní;;0
1;CRUZGUIA;20:00;Peña Bética N.S. Oliva;;0
1;CRUZGUIA;20:30;Nenúfar;;0
1;CRUZGUIA;21:00;Alfonso Lasso Vega;;0
1;CRUZGUIA;21:30;Almirante Topete;;0
1;CRUZGUIA;22:00;Avda. Teatinos;;0
1;CRUZGUIA;22:30;Parroquia Sta. Genoveva;;0
1;CRUZGUIA;23:00;Almirante Topete;;0
1;CRUZGUIA;23:30;Almirante Topete;;0
1;CRUZGUIA;00:00;Rotonda H.V. Rocío;;0
1;CRUZGUIA;00:30;Bendición y Esperanza;;0
1;CRUZGUIA;01:00;Cancel Colegio;;0
1;CRUZGUIA;01:30;Entrada;01:40;0
1;PASO;17:30;Salida;17:20;0
1;PASO;18:00;Cancel Colegio;;0
1;PASO;18:30;Rotonda Esqueleto;;0
1;PASO;19:00;Ronda Ntra. Sra. Oliva;;0
1;PASO;19:30;Getsemaní;;0
1;PASO;20:00;Getsemaní;;0
1;PASO;20:30;Peña Bética N. Sra. Oliva;;0
1;PASO;21:00;Nenúfar;;0
1;PASO;21:30;Alfonso Lasso Vega;;0
1;PASO;22:00;Almirante Topete;;0
1;PASO;22:30;Avda. Teatinos;;0
1;PASO;23:00;Parr. Santa Genoveva;;0
1;PASO;23:30;Almirante Topete;;0
1;PASO;00:00;Almirante Topete;;0
1;PASO;00:30;Rotonda H.V. Rocío;;0
1;PASO;01:00;Bendición y Esperanza;;0
1;PASO;01:30;Cancel Colegio;;0
1;PASO;02:00;Entrada;;0
2;CRUZGUIA;17:30;Salida;17:45;0
2;CRUZGUIA;18:00;Pl. Ramón Rueda;;0
2;CRUZGUIA;18:30;Sembradores;;0
2;CRUZGUIA;19:00;Estrella Sirio;;0
2;CRUZGUIA;19:30;Estrella Canopus;;0
2;CRUZGUIA;20:00;Parque Sierra Norte;;0
2;CRUZGUIA;20:30;Corral del Agua;;0
2;CRUZGUIA;21:00;Corral de la Encarnación;;0
2;CRUZGUIA;21:30;Corral de los Barquilleros;;0
2;CRUZGUIA;22:00;Trav. Ntra. S. Consolación;;0
2;CRUZGUIA;22:30;Viñadores;;0
2;CRUZGUIA;23:00;Impresores;;0
2;CRUZGUIA;23:30;Esparteros;;0
2;CRUZGUIA;00:00;Alfareros;;0
2;CRUZGUIA;00:30;Alfareros;;0
2;CRUZGUIA;01:00;Entrada;01:15;0
2;PALIO;18:30;Salida;;0
2;PALIO;19:00;Tapiceros;;0
2;PALIO;19:30;Agricultores;;0
2;PALIO;20:00;Estrella Agena;;0
2;PALIO;20:30;Estrella Canopus;;0
2;PALIO;21:00;Parque Sierra Norte;;0
2;PALIO;21:30;Corral del Agua;;0
2;PALIO;22:00;Corral de la Encarnación;;0
2;PALIO;22:30;Corral del Acabose;;0
2;PALIO;23:00;Trav. Ntra. S. Consolación;;0
2;PALIO;23:30;Trav. Ntra. S. Consolación;;0
2;PALIO;00:00;Viñadores;;0
2;PALIO;00:30;Impresores;;0
2;PALIO;01:00;Esparteros;;0
2;PALIO;01:30;Alfareros;;0
2;PALIO;02:00;Entrada;02:15;0
3;CRUZGUIA;18:00;Salida;18:15;0
3;CRUZGUIA;18:30;San Antonio María Claret;;0
3;CRUZGUIA;19:00;Periodista Ramón Resa;;0
3;CRUZGUIA;19:30;Periodista Ramón Resa;;0
3;CRUZGUIA;20:00;Páez de Ribera;;0
3;CRUZGUIA;20:30;Avda. Manuel Siurot;;0
3;CRUZGUIA;21:00;Avda. Manuel Siurot;;0
3;CRUZGUIA;21:30;Torc. Luca de Tena;;0
3;CRUZGUIA;22:00;Fotógrafo A. del Junco;;0
3;CRUZGUIA;22:30;Teba;;0
3;CRUZGUIA;23:00;Tajo;;0
3;CRUZGUIA;23:30;Ebro;;0
3;CRUZGUIA;00:00;Avda. Padre García Tejero;;0
3;CRUZGUIA;00:30;Entrada;;0
3;PASO;18:30;Salida;;0
3;PASO;19:00;San Antonio María Claret;;0
3;PASO;19:30;Periodista Ramón Resa;;0
3;PASO;20:00;Periodista Ramón Resa;;0
3;PASO;20:30;Cardenal Ilundain;;0
3;PASO;21:00;Avda. Manuel Siurot;;0
3;PASO;21:30;Avda. Manuel Siurot;;0
3;PASO;22:00;Monzón;;0
3;PASO;22:30;Avda. Reina Mercedes;;0
3;PASO;23:00;Ensanche;;0
3;PASO;23:30;Panamá;;0
3;PASO;00:00;Ebro;;0
3;PASO;00:30;Padre García Tejero;;0
3;PASO;01:00;Entrada;;0
4;CRUZGUIA;18:30;Salida;;0
4;CRUZGUIA;19:00;Pl. Fernando VI;;0
4;CRUZGUIA;19:30;Ávila;;0
4;CRUZGUIA;20:00;Almirante Argandoña;;0
4;CRUZGUIA;20:30;Santa Margarita;;0
4;CRUZGUIA;21:00;Pamplona;;0
